"TOA5","draker_prospector","CR1000","38934","CR1000.Std.25","CPU:prospector.CR1","13672","panelControl"
"TIMESTAMP","RECORD","pnl_control_modem_override","pnl_control_modem_disabled","pnl_control_heater_timer","pnl_control_daytime","pnl_control_sunrise","pnl_control_sunset","pnl_control_check_ntp","PortStatus","SW12Volts","Battery"
"TS","RN","Min","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-08-31 00:41:00",424,0,-1,0,0,0,0,0,-1,0,12.97491
"2012-08-31 00:42:00",425,0,-1,0,0,0,0,0,-1,0,12.97492
"2012-08-31 00:43:00",426,0,-1,0,0,0,0,0,-1,0,12.97492
"2012-08-31 00:44:00",427,0,-1,0,0,0,0,0,-1,0,12.97493
"2012-08-31 00:45:00",428,0,-1,0,0,0,0,0,-1,0,12.97493
"2012-08-31 00:46:00",429,0,-1,0,0,0,0,0,-1,0,12.97493
"2012-08-31 00:47:00",430,0,-1,0,0,0,0,0,-1,0,12.97493
"2012-08-31 00:48:00",431,0,-1,0,0,0,0,0,-1,0,12.97493
"2012-08-31 00:49:00",432,0,-1,0,0,0,0,0,-1,0,12.97494
"2012-08-31 00:50:00",433,0,-1,0,0,0,0,0,-1,0,12.97494
"2012-08-31 00:51:00",434,0,-1,0,0,0,0,0,-1,0,12.97494
"2012-08-31 00:52:00",435,0,-1,0,0,0,0,0,-1,0,12.97494
"2012-08-31 00:53:00",436,0,-1,0,0,0,0,0,-1,0,12.97494
"2012-08-31 00:54:00",437,0,-1,0,0,0,0,0,-1,0,12.97494
"2012-08-31 00:55:00",438,0,-1,0,0,0,0,0,-1,0,12.97494
"2012-08-31 00:56:00",439,0,-1,0,0,0,0,0,-1,0,12.97494
"2012-08-31 00:57:00",440,0,-1,0,0,0,0,0,-1,0,12.97494
"2012-08-31 00:58:00",441,0,-1,0,0,0,0,0,-1,0,12.97494
"2012-08-31 00:59:00",442,0,-1,0,0,0,0,0,-1,0,12.96947
"2012-08-31 01:00:00",443,0,-1,0,0,0,0,0,-1,0,12.97494
"2012-08-31 01:01:00",444,0,-1,0,0,0,0,0,-1,0,12.96947
"2012-08-31 01:02:00",445,0,-1,0,0,0,0,0,-1,0,12.9699
"2012-08-31 01:03:00",446,0,-1,0,0,0,0,0,-1,0,12.9699
"2012-08-31 01:04:00",447,0,-1,0,0,0,0,0,-1,0,12.96982
"2012-08-31 01:05:00",448,0,-1,0,0,0,0,0,-1,0,12.96975
"2012-08-31 01:06:00",449,0,-1,0,0,0,0,0,-1,0,12.97013
"2012-08-31 01:07:00",450,0,-1,0,0,0,0,0,-1,0,12.97
"2012-08-31 01:08:00",451,0,-1,0,0,0,0,0,-1,0,12.96989
"2012-08-31 01:09:00",452,0,-1,0,0,0,0,0,-1,0,12.96989
"2012-08-31 01:10:00",453,0,-1,0,0,0,0,0,-1,0,12.96433
"2012-08-31 01:11:00",454,0,-1,0,0,0,0,0,-1,0,12.96427
"2012-08-31 01:12:00",455,0,-1,0,0,0,0,0,-1,0,12.96465
"2012-08-31 01:13:00",456,0,-1,0,0,0,0,0,-1,0,12.96452
"2012-08-31 01:14:00",457,0,-1,0,0,0,0,0,-1,0,12.96441
"2012-08-31 01:15:00",458,0,-1,0,0,0,0,0,-1,0,12.96441
"2012-08-31 01:16:00",459,0,-1,0,0,0,0,0,-1,0,12.96433
"2012-08-31 01:17:00",460,0,-1,0,0,0,0,0,-1,0,12.96426
"2012-08-31 01:18:00",461,0,-1,0,0,0,0,0,-1,0,12.96421
"2012-08-31 01:19:00",462,0,-1,0,0,0,0,0,-1,0,12.96417
"2012-08-31 01:20:00",463,0,-1,0,0,0,0,0,-1,0,12.96413
"2012-08-31 01:21:00",464,0,-1,0,0,0,0,0,-1,0,12.96413
"2012-08-31 01:22:00",465,0,-1,0,0,0,0,0,-1,0,12.96454
"2012-08-31 01:23:00",466,0,-1,0,0,0,0,0,-1,0,12.96443
"2012-08-31 01:24:00",467,0,-1,0,0,0,0,0,-1,0,12.96435
"2012-08-31 01:25:00",468,0,-1,0,0,0,0,0,-1,0,12.96428
"2012-08-31 01:26:00",469,0,-1,0,0,0,0,0,-1,0,12.96422
"2012-08-31 01:27:00",470,0,-1,0,0,0,0,0,-1,0,12.96422
"2012-08-31 01:28:00",471,0,-1,0,0,0,0,0,-1,0,12.96418
"2012-08-31 01:29:00",472,0,-1,0,0,0,0,0,-1,0,12.9591
"2012-08-31 01:30:00",473,0,-1,0,0,0,0,0,-1,0,12.95942
"2012-08-31 01:31:00",474,0,-1,0,0,0,0,0,-1,0,12.95924
"2012-08-31 01:32:00",475,0,-1,0,0,0,0,0,-1,0,12.95954
"2012-08-31 01:33:00",476,0,-1,0,0,0,0,0,-1,0,12.95954
"2012-08-31 01:34:00",477,0,-1,0,0,0,0,0,-1,0,12.95977
"2012-08-31 01:35:00",478,0,-1,0,0,0,0,0,-1,0,12.95996
"2012-08-31 01:36:00",479,0,-1,0,0,0,0,0,-1,0,12.95967
"2012-08-31 01:37:00",480,0,-1,0,0,0,0,0,-1,0,12.95397
"2012-08-31 01:38:00",481,0,-1,0,0,0,0,0,-1,0,12.95422
"2012-08-31 01:39:00",482,0,-1,0,0,0,0,0,-1,0,12.95422
"2012-08-31 01:40:00",483,0,-1,0,0,0,0,0,-1,0,12.95442
"2012-08-31 01:41:00",484,0,-1,0,0,0,0,0,-1,0,12.95458
"2012-08-31 01:42:00",485,0,-1,0,0,0,0,0,-1,0,12.95471
"2012-08-31 01:43:00",486,0,-1,0,0,0,0,0,-1,0,12.95482
"2012-08-31 01:44:00",487,0,-1,0,0,0,0,0,-1,0,12.9549
"2012-08-31 01:45:00",488,0,-1,0,0,0,0,0,-1,0,12.9549
"2012-08-31 01:46:00",489,0,-1,0,0,0,0,0,-1,0,12.95497
"2012-08-31 01:47:00",490,0,-1,0,0,0,0,0,-1,0,12.95502
"2012-08-31 01:48:00",491,0,-1,0,0,0,0,0,-1,0,12.95506
"2012-08-31 01:49:00",492,0,-1,0,0,0,0,0,-1,0,12.95509
"2012-08-31 01:50:00",493,0,-1,0,0,0,0,0,-1,0,12.95512
"2012-08-31 01:51:00",494,0,-1,0,0,0,0,0,-1,0,12.95512
"2012-08-31 01:52:00",495,0,-1,0,0,0,0,0,-1,0,12.95514
"2012-08-31 01:53:00",496,0,-1,0,0,0,0,0,-1,0,12.94969
"2012-08-31 01:54:00",497,0,-1,0,0,0,0,0,-1,0,12.9497
"2012-08-31 01:55:00",498,0,-1,0,0,0,0,0,-1,0,12.94971
"2012-08-31 01:56:00",499,0,-1,0,0,0,0,0,-1,0,12.94972
"2012-08-31 01:57:00",500,0,-1,0,0,0,0,0,-1,0,12.94972
"2012-08-31 01:58:00",501,0,-1,0,0,0,0,0,-1,0,12.94973
"2012-08-31 01:59:00",502,0,-1,0,0,0,0,0,-1,0,12.94973
"2012-08-31 02:00:00",503,0,-1,0,0,0,0,0,-1,0,12.94974
"2012-08-31 02:01:00",504,0,-1,0,0,0,0,0,-1,0,12.94974
"2012-08-31 02:02:00",505,0,-1,0,0,0,0,0,-1,0,12.94975
"2012-08-31 02:03:00",506,0,-1,0,0,0,0,0,-1,0,12.94975
"2012-08-31 02:04:00",507,0,-1,0,0,0,0,0,-1,0,12.94975
